Program Start at Thu Sep 15 15:10:53 2022

Starting N=59 with k=6
Starting... 0, 1, 2, 3, 12, 50, 
Starting... 0, 1, 2, 3, 12, 51, 
Starting... 0, 1, 2, 3, 12, 52, 
Starting... 0, 1, 2, 3, 12, 53, 
Starting... 0, 1, 2, 3, 12, 54, 
Starting... 0, 1, 2, 3, 12, 55, 
Starting... 0, 1, 2, 3, 12, 56, 
Starting... 0, 1, 2, 3, 12, 57, 
Starting... 0, 1, 2, 3, 12, 58, 
Starting... 0, 1, 2, 3, 13, 14, 
Starting... 0, 1, 2, 3, 13, 15, 
Starting... 0, 1, 2, 3, 13, 16, 
Starting... 0, 1, 2, 3, 13, 17, 
Starting... 0, 1, 2, 3, 13, 18, 
Starting... 0, 1, 2, 3, 13, 19, 
Starting... 0, 1, 2, 3, 13, 20, 
Starting... 0, 1, 2, 3, 13, 21, 
Starting... 0, 1, 2, 3, 13, 22, 
Starting... 0, 1, 2, 3, 13, 23, 
Starting... 0, 1, 2, 3, 13, 24, 
Starting... 0, 1, 2, 3, 13, 25, 
Starting... 0, 1, 2, 3, 13, 26, 
Starting... 0, 1, 2, 3, 13, 27, 
Starting... 0, 1, 2, 3, 13, 28, 
Starting... 0, 1, 2, 3, 13, 29, 
Starting... 0, 1, 2, 3, 13, 30, 
Starting... 0, 1, 2, 3, 13, 31, 
Starting... 0, 1, 2, 3, 13, 32, 
Starting... 0, 1, 2, 3, 13, 33, 
Starting... 0, 1, 2, 3, 13, 34, 
Starting... 0, 1, 2, 3, 13, 35, 
Starting... 0, 1, 2, 3, 13, 36, 
Starting... 0, 1, 2, 3, 13, 37, 
Starting... 0, 1, 2, 3, 13, 38, 
Starting... 0, 1, 2, 3, 13, 39, 
Starting... 0, 1, 2, 3, 13, 40, 
Starting... 0, 1, 2, 3, 13, 41, 
Starting... 0, 1, 2, 3, 13, 42, 
Starting... 0, 1, 2, 3, 13, 43, 
Starting... 0, 1, 2, 3, 13, 44, 
Starting... 0, 1, 2, 3, 13, 45, 
Starting... 0, 1, 2, 3, 13, 46, 
Starting... 0, 1, 2, 3, 13, 47, 
Starting... 0, 1, 2, 3, 13, 48, 
Starting... 0, 1, 2, 3, 13, 49, 
Starting... 0, 1, 2, 3, 13, 50, 
Starting... 0, 1, 2, 3, 13, 51, 
Starting... 0, 1, 2, 3, 13, 52, 
Starting... 0, 1, 2, 3, 13, 53, 
Starting... 0, 1, 2, 3, 13, 54, 
Starting... 0, 1, 2, 3, 13, 55, 
Starting... 0, 1, 2, 3, 13, 56, 
Starting... 0, 1, 2, 3, 13, 57, 
Starting... 0, 1, 2, 3, 13, 58, 
Starting... 0, 1, 2, 3, 14, 15, 
Starting... 0, 1, 2, 3, 14, 16, 
Starting... 0, 1, 2, 3, 14, 17, 
Starting... 0, 1, 2, 3, 14, 18, 
Starting... 0, 1, 2, 3, 14, 19, 
Starting... 0, 1, 2, 3, 14, 20, 
Starting... 0, 1, 2, 3, 14, 21, 
Starting... 0, 1, 2, 3, 14, 22, 
Starting... 0, 1, 2, 3, 14, 23, 
Starting... 0, 1, 2, 3, 14, 24, 
Starting... 0, 1, 2, 3, 14, 25, 
Starting... 0, 1, 2, 3, 14, 26, 
Starting... 0, 1, 2, 3, 14, 27, 
Starting... 0, 1, 2, 3, 14, 28, 
Starting... 0, 1, 2, 3, 14, 29, 
Starting... 0, 1, 2, 3, 14, 30, 
Starting... 0, 1, 2, 3, 14, 31, 
Starting... 0, 1, 2, 3, 14, 32, 
Starting... 0, 1, 2, 3, 14, 33, 
Starting... 0, 1, 2, 3, 14, 34, 
Starting... 0, 1, 2, 3, 14, 35, 
Starting... 0, 1, 2, 3, 14, 36, 
Starting... 0, 1, 2, 3, 14, 37, 
Starting... 0, 1, 2, 3, 14, 38, 
Starting... 0, 1, 2, 3, 14, 39, 
Starting... 0, 1, 2, 3, 14, 40, 
Starting... 0, 1, 2, 3, 14, 41, 
Starting... 0, 1, 2, 3, 14, 42, 
Starting... 0, 1, 2, 3, 14, 43, 
Starting... 0, 1, 2, 3, 14, 44, 
Starting... 0, 1, 2, 3, 14, 45, 
Starting... 0, 1, 2, 3, 14, 46, 
Starting... 0, 1, 2, 3, 14, 47, 
Starting... 0, 1, 2, 3, 14, 48, 
Starting... 0, 1, 2, 3, 14, 49, 
Starting... 0, 1, 2, 3, 14, 50, 
Starting... 0, 1, 2, 3, 14, 51, 
Starting... 0, 1, 2, 3, 14, 52, 
Starting... 0, 1, 2, 3, 14, 53, 
Starting... 0, 1, 2, 3, 14, 54, 
Starting... 0, 1, 2, 3, 14, 55, 
Starting... 0, 1, 2, 3, 14, 56, 
Starting... 0, 1, 2, 3, 14, 57, 
Starting... 0, 1, 2, 3, 14, 58, 
Starting... 0, 1, 2, 3, 15, 16, 
Starting... 0, 1, 2, 3, 15, 17, 
Starting... 0, 1, 2, 3, 15, 18, 
Starting... 0, 1, 2, 3, 15, 21, 
Starting... 0, 1, 2, 3, 15, 24, 
Starting... 0, 1, 2, 3, 15, 26, 
Starting... 0, 1, 2, 3, 15, 28, 
Starting... 0, 1, 2, 3, 15, 29, 
Starting... 0, 1, 2, 3, 15, 30, 
Starting... 0, 1, 2, 3, 15, 32, 
Starting... 0, 1, 2, 3, 15, 33, 
Starting... 0, 1, 2, 3, 15, 35, 
Starting... 0, 1, 2, 3, 15, 39, 
Starting... 0, 1, 2, 3, 15, 41, 
Starting... 0, 1, 2, 3, 15, 43, 
Starting... 0, 1, 2, 3, 15, 44, 
Starting... 0, 1, 2, 3, 15, 46, 
Starting... 0, 1, 2, 3, 15, 47, 
Starting... 0, 1, 2, 3, 15, 51, 
Starting... 0, 1, 2, 3, 15, 56, 
Starting... 0, 1, 2, 3, 15, 56, 
Starting... 0, 1, 2, 3, 15, 57, 
Starting... 0, 1, 2, 3, 16, 18, 
Starting... 0, 1, 2, 3, 16, 19, 
Starting... 0, 1, 2, 3, 16, 25, 
Starting... 0, 1, 2, 3, 16, 31, 
Starting... 0, 1, 2, 3, 16, 33, 
Starting... 0, 1, 2, 3, 16, 36, 
Starting... 0, 1, 2, 3, 16, 40, 
Starting... 0, 1, 2, 3, 16, 42, 
Starting... 0, 1, 2, 3, 16, 48, 
Starting... 0, 1, 2, 3, 16, 58, 
Starting... 0, 1, 2, 3, 17, 18, 
Starting... 0, 1, 2, 3, 17, 19, 
Starting... 0, 1, 2, 3, 17, 20, 
Starting... 0, 1, 2, 3, 17, 21, 
Starting... 0, 1, 2, 3, 17, 23, 
Starting... 0, 1, 2, 3, 17, 24, 
Starting... 0, 1, 2, 3, 17, 25, 
Starting... 0, 1, 2, 3, 17, 28, 
Starting... 0, 1, 2, 3, 17, 31, 
Starting... 0, 1, 2, 3, 17, 33, 
Starting... 0, 1, 2, 3, 17, 35, 
Starting... 0, 1, 2, 3, 17, 36, 
Starting... 0, 1, 2, 3, 17, 37, 
Starting... 0, 1, 2, 3, 17, 39, 
Starting... 0, 1, 2, 3, 17, 40, 
Starting... 0, 1, 2, 3, 17, 42, 
Starting... 0, 1, 2, 3, 17, 46, 
Starting... 0, 1, 2, 3, 17, 48, 
Starting... 0, 1, 2, 3, 17, 50, 
Starting... 0, 1, 2, 3, 17, 51, 
Starting... 0, 1, 2, 3, 17, 53, 
Starting... 0, 1, 2, 3, 17, 54, 
Starting... 0, 1, 2, 3, 17, 58, 
Starting... 0, 1, 2, 3, 18, 19, 
Starting... 0, 1, 2, 3, 18, 21, 
Starting... 0, 1, 2, 3, 18, 20, 
Starting... 0, 1, 2, 3, 18, 22, 
Starting... 0, 1, 2, 3, 18, 23, 
Starting... 0, 1, 2, 3, 18, 24, 
Starting... 0, 1, 2, 3, 18, 25, 
Starting... 0, 1, 2, 3, 18, 26, 
Starting... 0, 1, 2, 3, 18, 27, 
Starting... 0, 1, 2, 3, 18, 28, 
Starting... 0, 1, 2, 3, 18, 29, 
Starting... 0, 1, 2, 3, 18, 30, 
Starting... 0, 1, 2, 3, 18, 31, 
Starting... 0, 1, 2, 3, 18, 32, 
